Name Stem,Post - Pre,Item,Label,Response Values,Construct
agqmap2,-0.18507462686567333,It is important for me to understand the content of this course as thoroughly as possible,want to understand the content thoroughly,"slider: 1=Not at all true of me, 7 = Very true of me",Achievement Goals (Mastery approach)
agqmap1,-0.2582089552238811,I want to learn as much as possible in this class ,want to learn as much as possible,"slider: 1=Not at all true of me, 7 = Very true of me",Achievement Goals (Mastery approach)
agqmap10,0.04811188811188849,I am often concerned that I may not learn all that there is to learn in this class,concerned haven't learned everything,"slider: 1=Not at all true of me, 7 = Very true of me",Achievement Goals (Mastery avoid)
agqmap5,-0.06506105834464115,Sometimes I’m afraid that I may not understand the content of this class as thoroughly as I’d like,afraid may not understand everything,"slider: 1=Not at all true of me, 7 = Very true of me",Achievement Goals (Mastery avoid)
agqmap6,-0.8888888888888902,It is important for me to do well compared to others in this class,important to do well compared to others,"slider: 1=Not at all true of me, 7 = Very true of me",Achievement Goals (Performance approach)
agqmap17,0.01877858488028128,It’s important to me that others think I’m smart in class,important I look smart to others,"slider: 1=Not at all true of me, 7 = Very true of me",Achievement Goals (Performance approach)
agqmap16,-0.4271825396825397,I don’t want to look like I’m not as smart as the other students,don't want to look less smart,"slider: 1=Not at all true of me, 7 = Very true of me",Achievement Goals (Performance avoid)
agqmap3,-1.0447916666666663,It is important for me not to do worse than the other students,important not to do worse than others,"slider: 1=Not at all true of me, 7 = Very true of me",Achievement Goals (Performance avoid)
agqmap7,0.02691090004522767,I just want to avoid doing poorly in this class,just want to avoid doing poorly,"slider: 1=Not at all true of me, 7 = Very true of me",Achievement Goals (Performance avoid)
att1,-0.02424242424242351,"How important to you, personally, is it to be a person who understands the science behind cooking?",important to be a cooking science person,"slider: 1=Not at all important, 7 = Very important",Attainment Value
att3,0.30815972222222054,How important to your identity is it to be knowledgeable about the science behind food and cooking?,important to my identity to know cooking science,"slider: 1=Not at all important, 7 = Very important",Attainment Value
att2,0.18855769230769193,How important is it that others see you as knowledgeable about the science behind food and cooking?,important to be seen as cooking science person,"slider: 1=Not at all important, 7 = Very important",Attainment Value
cost1,0.3236969001148111,How stressful will this class be?,class will be stressful,"slider: 1=Not at all stressful, 7 = Very stressful",Cost Value (Emotional)
cost2,0.6907692307692312,How frustrating will this class be?,class will be frustrating,"slider: 1=Not at all frustrating, 7 = Very furstrating",Cost Value (Emotional)
cost3,0.6189732142857136,How emotionally draining will this class be?,class will be emotionally draining,"slider: 1=Not at all draining, 7 = Very draining",Cost Value (Emotional)
cost4,0.2032790592492102,How much do you have to sacrifice to do well in this course?,have to sacrifice a lot to do well,"slider: 1=Nothing, 7 = An incredible amount",Cost Value (Loss of Valued Alternatives)
cost5,0.4390624999999999,How many other valued activities does this class require you to give up?,have to give up valued activities,"slider: 1=None, 7 = An incredible amount",Cost Value (Loss of Valued Alternatives)
cost6,0.7492307692307691,How many opportunities will you be missing out on if you commit fully to this class?,missing opportunities by committing to class ,"slider: 1=None, 7 = An incredible amount",Cost Value (Loss of Valued Alternatives)
cost9,-0.30597014925373145,How much effort will you have left for this class after taking care of more important activities?,effort left for class after other activities,"slider: 1=Not nearly enough, 7 = Enough",Cost Value (Outside Effort)
cost8,-0.16865671641791025,How much time will you have for this class after taking care of more important activities?,time left for class after other activities,"slider: 1=Not nearly enough, 7 = Enough",Cost Value (Outside Effort)
cost7,0.03107191316146629,How much will your other commitments get in the way of you putting forth effort in class?,other commitments get in way of class,"slider: 1=Not at all, 7 = Completely",Cost Value (Outside Effort)
study,1.343283582089553,"On average, how many hours per week do you plan to spend on all aspects of this course?",hours spent per week?,1 to 40,Course Plan
studydays,-0.31343283582089576,How many days of each week will you work on this course?,days per week you will work on course,1 to 7,Course Plan
er1,0.0773809523809521,I often feel so lazy or bored when I study for this class that I quit before I finish what I planned to do,often feel lazy or bored studying,"slider: 1=Strongly disagree, 5=Strongly Agree",Effort Regulation
er8x,-0.03982360922659467,,work until I finish,"slider: 1=Strongly disagree, 5=Strongly Agree",Effort Regulation
er4,-0.07876456876456883,"Even when course materials are dull and uninteresting, I manage to keep working until I finish ",finish even when material is dull,"slider: 1=Strongly disagree, 5=Strongly Agree",Effort Regulation
er2,-0.23964269561284457,I work hard even if I do not like what I am doing,work hard even if I don't like it,"slider: 1=Strongly disagree, 5=Strongly Agree",Effort Regulation
er3,0.11450665017012085,"When coursework is difficult, I give up or only study the easy parts ",give up when coursework is difficult,"slider: 1=Strongly disagree, 5=Strongly Agree",Effort Regulation
er7x,0.16879240162822295,I continue working even if there are better things to do,finish even if have better things to do,"slider: 1=Strongly disagree, 5=Strongly Agree",Effort Regulation
wgrade,,What grade do you want to get in this course?,wanted grade,"13=A+, 12=A, 11=A-, 10=B+, 9=B, 8=B-, 7=C+, 6=C, 5=C-, 4=D+, 3=D, 2=D-, 1=F",Grade Expectations
egrade,,What grade do you expect to get in this course?,expected grade,"13=A+, 12=A, 11=A-, 10=B+, 9=B, 8=B-, 7=C+, 6=C, 5=C-, 4=D+, 3=D, 2=D-, 1=F",Grade Expectations
